caldt,vwretd
19770810,0.008929
19770811,-0.007630
19770812,-0.002723
19770815,0.003552
19770816,-0.004170
19770817,0.000252
19770818,-0.000293
19770819,-0.002428
19770822,0.003797
19770823,-0.001780
19770824,-0.004001
19770825,-0.009956
19770826,-0.000239
19770829,0.009091
19770830,-0.005453
19770831,0.004094
19770901,0.000427
19770902,0.006865
19770906,0.002512
19770907,0.002933
19770908,-0.007748
19770909,-0.009164
19770912,-0.002627
19770913,0.000640
19770914,0.004432
19770915,0.003297
19770916,-0.003676
19770919,-0.006610
19770920,0.000945
19770921,-0.008081
19770922,-0.000411
19770923,-0.000367
19770926,0.003914
19770927,-0.001364
19770928,0.000831
19770929,0.005547
19770930,0.007141
19771003,0.002535
19771004,-0.007193
19771005,-0.003964
19771006,0.004088
19771007,-0.000790
19771010,-0.002278
19771011,-0.008462
19771012,-0.010230
19771013,-0.006008
19771014,0.001478
19771017,-0.000612
19771018,-0.000428
19771019,-0.011469
19771020,0.002780
19771021,-0.003015
19771024,-0.007994
19771025,-0.006739
19771026,0.011883
19771027,0.003283
19771028,0.003154
19771031,-0.002549
19771101,-0.010098
19771102,-0.006009
19771103,0.001977
19771104,0.009598
19771107,0.008282
19771108,0.001570
19771109,0.005664
19771110,0.020022
19771111,0.013818
19771114,-0.006250
19771115,0.006660
19771116,-0.004818
19771117,-0.003303
19771118,0.002296
19771121,-0.001261
19771122,0.009761
19771123,0.005649
19771125,0.002695
19771128,-0.006232
19771129,-0.015431
19771130,0.002371
19771201,-0.000605
19771202,-0.000662
19771205,-0.003759
19771206,-0.015723
19771207,-0.000763
19771208,0.002310
19771209,0.007564
19771212,0.000190
19771213,-0.000366
19771214,0.004436
19771215,-0.005017
19771216,-0.001451
19771219,-0.007144
19771220,-0.002598
19771221,0.006358
19771222,0.007722
19771223,0.010159
19771227,0.000163
19771228,-0.000019
19771229,0.003287
19771230,0.001699
19780103,-0.013766
19780104,-0.003596
19780105,-0.008235
19780106,-0.011690
19780109,-0.010289
19780110,-0.005892
19780111,-0.005139
19780112,0.001104
19780113,-0.001310
19780116,-0.002783
19780117,0.005211
19780118,0.007488
19780119,-0.004968
19780120,-0.002488
19780123,-0.007236
19780124,0.000312
19780125,0.001410
19780126,-0.008867
19780127,0.000083
19780130,0.009252
19780131,-0.000881
19780201,0.008232
19780202,0.003078
19780203,-0.004577
19780206,0.000280
19780207,0.008654
19780208,0.005958
19780209,-0.004905
19780210,-0.002206
19780213,-0.002792
19780214,-0.008385
19780215,-0.002317
19780216,-0.008173
19780217,-0.001654
19780221,-0.003838
19780222,0.000520
19780223,0.002389
19780224,0.009247
19780227,-0.007866
19780228,-0.007814
19780301,0.001722
19780302,0.001718
19780303,0.001381
19780306,-0.005863
19780307,0.005312
19780308,0.005405
19780309,0.000887
19780310,0.011535
19780313,0.000905
19780314,0.004799
19780315,-0.002554
19780316,0.004344
19780317,0.007981
19780320,0.006835
19780321,-0.011668
19780322,-0.003012
19780323,-0.001191
19780327,-0.005487
19780328,0.007410
19780329,0.001657
19780330,-0.002664
19780331,-0.002492
19780403,-0.007541
19780404,0.004209
19780405,0.008607
19780406,0.002138
19780407,0.004289
19780410,0.003604
19780411,-0.002648
19780412,-0.001485
19780413,0.010205
19780414,0.021754
19780417,0.017461
19780418,-0.011539
19780419,0.004362
19780420,0.007242
19780421,-0.001810
19780424,0.015556
19780425,0.009245
