"","PERMNO","YEAR","RET-bji","RET-yxia"
"357","10022","1952","-1.685647e-01",-0.0874867071153078
"358","10022","1953","-2.578326e-01",0.139931805856161
"359","10022","1954","-1.220723e-01",0.458593600861495
"360","10022","1955"," 3.288758e-01",-0.113117530773939
"361","10022","1956","-4.960000e-07",-0.162562834954357
"362","10022","1957","-1.730000e-01",0.209811877762552
"363","10022","1958","-1.070000e-02",0.551258295381988
"364","10022","1959"," 6.340000e-01",0.377849365530645
"365","10022","1960"," 1.060000e+00",0.036695698912641
"366","10023","1972","-2.127700e-02",NA
"367","10024","1986"," 9.999969e-02",0.121951553035144
"368","10024","1987"," 4.545446e-02",-0.543478070917434
"369","10024","1988","-5.000008e-01",-0.285714119761404
"370","10024","1989"," 1.317784e+04",-0.499999772226867
"371","10024","1990","-8.295459e-01",-0.666667019993416
"372","10024","1990","-3.333300e-02",-0.666667019993416
"373","10024","1992","-6.666661e-01",-0.416666158249014
"374","10024","1993","-5.999995e-01",NA
"375","10025","1986"," 7.920777e-02",-0.390476318587977
"376","10025","1987","-3.761434e-01",0.031250370339464
"377","10025","1988","-3.944934e-01",0.545455335837722
"378","10025","1989"," 2.987255e+04",0.749999505996598
"379","10025","1990"," 1.092438e-01",-0.470587726502864
"380","10025","1990"," 6.513676e-01",-0.470587726502864
"381","10025","1992","-5.000013e-01",-0.10714137336104
"382","10025","1993","-1.406253e-01",0.466366057807737
"383","10025","1994"," 5.643661e+04",0.517134328433825
"384","10025","1995"," 6.101941e+04",0.150530258192119
"385","10025","1996"," 7.221123e+04",1.49999887110969
"386","10025","1997"," 1.091936e+05",-0.438637176000102
"387","10025","1998"," 1.841645e+05",-0.295546089211003
"388","10025","1999"," 2.332564e+05",0.183907482503174
"389","10025","2000"," 2.213499e+05",0.73543686758457
"390","10025","2001"," 2.221612e+05",-0.463833017467369
"391","10025","2002","-2.798040e-03",-0.454506685895065
"392","10025","2003","-4.659161e-01",-0.254858939653553
"393","10025","2004"," 2.451055e+05",0.51452748398919
"394","10025","2005"," 1.130000e-03",0.694914398417631
"395","10025","2006"," 4.890000e-01",1.13240001126598
"396","10025","2007"," 1.305207e+05",-0.399551514112244
"397","10025","2008"," 3.930000e+00",-0.450796964545808
"398","10025","2009"," 2.138741e+05",1.17747436654493
"399","10025","2010"," 1.523294e+05",-0.322099431016385
"400","10025","2011"," 1.701319e+05",0.0847783787243792
"401","10025","2012"," 1.742657e+05",1.10408576883163
"402","10025","2013"," 1.562893e+05",-0.108052452034367
"403","10025","2014"," 2.469318e+05",0.100700043579931
"404","10025","2015"," 8.440000e-01",0.326743160699011
"405","10025","2016"," 2.824262e+05",0.523607269936083
"406","10026","1986","-1.418544e-02",-0.220000654929347
"407","10026","1987","-1.549295e-01",0.487181313861582
"408","10026","1988"," 2.253565e-01",0.568966628191658
"409","10026","1989"," 4.875020e+04",0.087912544841263
"410","10026","1990"," 9.859243e-01",-0.363635978824163
"411","10026","1990"," 3.030265e-02",-0.363635978824163
"412","10026","1992","-3.823594e-01",-0.36842070137258
"413","10026","1993"," 1.078333e-01",1.29166872362313
"414","10026","1994"," 9.916702e+04",-0.436363958699362
"415","10026","1995"," 1.130104e+05",-0.0537635888504683
"416","10026","1996"," 1.190253e+05",0.227272662933723
"417","10026","1997"," 1.045160e+05",0.212960931624776
"418","10026","1998"," 1.043832e+05",0.366412386586049
"419","10026","1999"," 1.168199e+05",-0.0837984371027144
"420","10026","2000"," 1.341068e+05",-0.179877978880341
"421","10026","2001"," 1.484594e+05",0.45427707661164
"422","10026","2002"," 7.430000e-03",0.460533929907742
"423","10026","2003"," 5.100000e-01",0.0574089393846946
"424","10026","2004"," 2.486724e+05",0.301772082175993
"425","10026","2005"," 3.280000e-02",0.223559074488823
"426","10026","2006"," 2.250000e-01",0.406242753220254
"427","10026","2007"," 4.285895e+05",-0.237010149919167
"428","10026","2008"," 1.150000e+00",0.161103037721484
"429","10026","2009"," 5.459578e+05",0.125422281484275
"430","10026","2010"," 5.471878e+05",0.219355130741946
"431","10026","2011"," 6.251912e+05",0.115274609366267
"432","10026","2012"," 6.839659e+05",0.210375565724327
"433","10026","2013"," 9.812480e+05",0.400294462778987
"434","10026","2014"," 1.051984e+06",0.244405562294745
"435","10026","2015"," 6.879834e-01",0.0867912090004315
