caldt,vwretd
02/17/1977,-0.005773
02/18/1977,-0.003359
02/22/1977,0.000581
02/23/1977,-0.002917
02/24/1977,-0.005421
02/25/1977,-0.001428
02/28/1977,0.003693
03/01/1977,0.008932
03/02/1977,-0.002772
03/03/1977,0.005130
03/04/1977,0.003254
03/07/1977,0.001081
03/08/1977,-0.004006
03/09/1977,-0.007588
03/10/1977,0.005564
03/11/1977,0.000297
03/14/1977,0.007845
03/15/1977,0.005299
03/16/1977,0.001951
03/17/1977,-0.000723
03/18/1977,-0.002411
03/21/1977,-0.005262
03/22/1977,-0.002205
03/23/1977,-0.008675
03/24/1977,-0.004847
03/25/1977,-0.006732
03/28/1977,-0.000237
03/29/1977,0.006831
03/30/1977,-0.012053
03/31/1977,-0.000886
04/01/1977,0.008459
04/04/1977,-0.010048
04/05/1977,-0.002098
04/06/1977,-0.001044
04/07/1977,0.004207
04/11/1977,0.005751
04/12/1977,0.012990
04/13/1977,-0.000129
04/14/1977,0.008457
04/15/1977,0.000184
04/18/1977,-0.004863
04/19/1977,-0.004272
04/20/1977,0.003297
04/21/1977,-0.006898
04/22/1977,-0.013492
04/25/1977,-0.013466
04/26/1977,0.000321
04/27/1977,0.008933
04/28/1977,0.002343
04/29/1977,0.002511
05/02/1977,0.006017
05/03/1977,0.004924
05/04/1977,0.006243
05/05/1977,0.002713
05/06/1977,-0.005378
05/09/1977,-0.002269
05/10/1977,0.003275
05/11/1977,-0.006917
05/12/1977,-0.000339
05/13/1977,0.003181
05/16/1977,0.004625
05/17/1977,0.003880
05/18/1977,0.005168
05/19/1977,-0.004253
05/20/1977,-0.004268
05/23/1977,-0.012341
05/24/1977,-0.003826
05/25/1977,-0.008930
05/26/1977,0.002416
05/27/1977,-0.007366
05/31/1977,-0.001634
